IME_GITARE,NEW_PRICE(EUR),OLD_PRICE(EUR)
FLIGHT D-175 BLK AKUSTIČNA KITARA ČRNA,88.01,92.64
FLIGHT D-175 NA AKUSTIČNA KITARA NATUR,88.01,92.64
CRAFTER D 7/N AKUSTIČNA KITARA s torbo,360.00,378.95
CRAFTER GAE 7/N ELEK.AKUST. KITARA SOLID TOP NAT,440.00,463.16
CRAFTER HG800CE/N ELEKTROAKUSTIČNA KITARA,530.00,557.89
CRAFTER D8/N AKUSTIČNA kITARA,380.00,400.00
JET JDE-255 ELEKTRO AKUSTIČNA KITARA NATUR,144.00,151.58
JET JDE-255 ELEKTRO AKUSTIČNA KITARA SB,149.00,156.84
LAG T70DCE TRAMONTANE 70 DREADNOUGHT CUTAWAY ELEKTRO AKUSTIČNA KITARA,299.00,314.74
LAG T118ACE TRAMONTANE FOLK AUDITORIUM ELEKTRO AKUSTIČNA KITARA,435.00,457.89
CRAFTER GA 7/N AKUSTIČNA KITARA,360.00,378.95
CRAFTER MINO MACASSAR ELEKTROAKUSTIČNA KITARA,420.00,442.11
LAG T118ASCE TRAMONTANE FOLK AUDITORIUM ELEKTRO AKUSTIČNA KITARA,420.00,442.11
DOWINA PUELLA DCE-S ELEKTROAKUSTIČNA KITARA,499.00,525.26
FURCH MASTERS CHOICE ORANGE NAT ELEKTROAKUSTIČNA KITARA,"2,440.00","2,568.42"
LAG T270PE TRAMONTANE PARLOR ELEKTRO AKUSTIČNA KITARA,469.00,493.68
FLIGHT D-175 SB AKUSTIČNA KITARA SUNBURST,88.01,92.64
CRAFTER GA 8/N AKUSTIČNA KITARA,380.00,400.00
FLIGHT D-155C SAP AKUSTIČNA KITARA,90.00,94.74
JET JDE-255 ELEKTRO AKUSTIČNA KITARA ČRNA,149.00,156.84
CRAFTER HD800CE/N ELEKTROAKUSTIČNA KITARA,530.00,557.89
CRAFTER JSTD700N ELEKTROAKUSTIČNA KITARA,530.00,557.89
DOWINA PUELLA D-S AKUSTIČNA KITARA,350.00,368.42
LAG T270ASCE TRAMONTANE AUDITORIUM SLIM ELEKTRO AKUSTIČNA KITARA,419.02,441.07
FURCH MASTERS CHOICE YELLOW NAT ELEKTROAKUSTIČNA KITARA,"2,040.00","2,147.37"
DOWINA AMBER ROAD M DCE-DS ELEKTRO AKUSTIČNA KITARA,"1,472.20","2,103.14"
CRAFTER HD700CE/N ELEKTROAKUSTIČNA KITARA,495.01,521.06
CRAFTER DE 8LH/N ELEKTRO AKUSTIČNA KITARA,480.00,505.26
CRAFTER GAE 8/N ELEKTRO AKUSTIČNA KITARA,480.00,505.26
DOWINA SILK ROAD GACE-DS ELEKTRO AKUSTIČNA KITARA S KOVČKOM,"1,598.31","1,997.89"
CRAFTER DE 8/N ELEKTRO AKUSTIČNA KITARA SOLID TOP,455.00,478.95
LAG T88DCE TRAMONTANE FOLK DREADNOUGHT ELEKTRO AKUSTIČNA KITARA,349.00,367.37
LAG T118DCE TRAMONTANE FOLK DREADNOUGHT ELEKTRO AKUSTIČNA KITARA,435.00,457.89
LAG T70A TRAMONTANE 70 AUDITORIUM AKUSTIČNA KITARA,209.00,220.00
LAG T170ACE TRAMONTANE AUDITORIUM ELEKTRO AKUSTIČNA KITARA,399.00,420.00
LAG T70ACE TRAMONTANE 70 AUDITORIUM ELEKTRO AKUSTIČNA KITARA,312.55,329.00
LAG T70DCE-BRB TRAMONTANE ELEKTRO AKUSTIČNA KITARA BRB,312.55,329.00
FLIGHT F-230CEQ SB ELEKTRO AKUSTIČNA KITARA,119.90,126.21
CORT GA-QF TBB ELEKTRO AKUSTIČNA KITARA,303.00,318.95
CRAFTER JVT680VTG ELEKTROAKUSTIČNA KITARA,480.00,505.26
JET JF-155 AKUSTIČNA KITARA ČRNA,119.00,125.26
FLIGHT AD-555 NA AKUSTIČNA KITARA,169.00,177.89
CORT NDX20 BK CUTAWAY ELEKTRO AKUSTIČNA KITARA,429.00,451.58
FURCH Dc-SW BLUE PLUS NAT AKUSTIČNA KITARA,"1,250.00","1,315.79"
CORT AF510E OP ELEKTRO AKUSTIČNA KITARA,175.00,184.21
CORT AD880CE NAT CUTAWAY ELEKTRO AKUSTIČNA KITARA,231.00,243.16
LAG T170D TRAMONTANE DREADNOUGHT AKUSTIČNA KITARA,275.25,289.74
DOWINA CHARDONAY DE-S ELEKTRO AKUSTIČNA KITARA,926.31,"1,157.89"
FURCH LITTLE JANE MINI NAT AKUSTIČNA KITARA,"1,080.00","1,136.84"
CRAFTER BA 550EQ/MS AKUSTIČNI BAS,392.00,560.00
LAG T118D TRAMONTANE DREADNOUGHT AKUSTIČNA KITARA,339.00,356.84
LAG T318DCE TRAMONTANE ELEKTRO AKUSTIČNA KITARA,490.00,515.79
CORT AD880CE BK CUTAWAY ELEKTRO AKUSTIČNA KITARA,242.00,254.74
LAG T270DCE TRAMONTANE DREADNOUGHT ELEKTRO AKUSTIČNA KITARA,469.00,493.68
FURCH MASTERS CHOICE INDIGO NAT ELEKTROAKUSTIČNA KITARA,905.00,952.63
CRAFTER DE7/N SOLID TOP AKUSTIČNA KITARA,440.00,463.16
CORT CJ RETRO VSM JUMBO ELEKTRO AKUSTIČNA KITARA,288.00,303.16
CORT GA5F CB NAT CUTAWAY ELEKTRO AKUSTIČNA KITARA,430.00,452.63
LAG TRAMONTANE WINGS DEATH ELEKTROAKUSTIČNA KITARA,428.00,450.53
LAG TRAMONTANE WINGS FREE ELEKTROAKUSTIČNA KITARA,428.00,450.53
CRAFTER KOR D 7/N AKUSTIČNA KITARA,420.00,442.11
FLIGHT AB-10 AKUSTIČNI BAS,159.00,167.37
CORT NDX20 NAT CUTAWAY ELEKTRO AKUSTIČNA KITARA,389.00,409.47
CRAFTER D 7LH /N AKUSTIČNA KITARA s torbo,370.00,389.47
CORT EARTH70 BR AKUSTIČNA KITARA,239.00,251.58
JET JD-255 AKUSTIČNA KITARA ČRNA,119.00,125.26
JET JD-255 AKUSTIČNA KITARA NATUR,119.00,125.26
LAG T88D TRAMONTANE 88 FOLK DREADNOUGHT AKUSTIČNA KITARA NATUR,225.00,236.84
CRAFTER CT 120/N ELEKTRO AKUSTIČNA KITARA NAT,510.00,600.00
CORT EARTHF BEVEL CUT OP AKUSTIČNA KITARA,266.00,280.00
FLIGHT F-230 NA AKUSTIČNI SET,99.47,110.52
FLIGHT F-230 SB AKUSTIČNI SET,99.47,110.52
CORT L300VF AKUSTIČNA KITARA NAT,520.00,547.37
JET JD-257 AKUSTIČNA KITARA BELA,129.00,135.79
CORT AS-OC4 AKUSTIČNA KITARA OP MAH,499.00,525.26
CORT GA10F NS ELEKTRO AKUSTIČNA KITARA,497.00,523.16
CORT MR500E BR CUTAWAY ELEKTRO AKUSTIČNA KITARA,247.00,260.00
CORT AD MINI OP w/bag,160.00,168.42
FLIGHT F-230CEQ NA ELEKTRO AKUSTIČNA KITARA,119.90,126.21
FLIGHT F-230 NA FOLK AKUSTIČNA KITARA NATUR,94.00,98.95
CRAFTER KOR D8/TS AKUSTIČNA KITARA,450.00,473.68
LAG T118ACE BLK TRAMONTANE FOLK AUDITORIUM ELEKTROAKUSTIČNA KITARA,450.00,473.68
CRAFTER BIG MINO ELEKTROAKUSTIČNA KITARA,440.00,463.16
CRAFTER KOR D 8/N AKUSTIČNA KITARA,440.00,463.16
LAG TRAMONTANE WINGS PEACE ELEKTROAKUSTIČNA KITARA,428.00,450.53
LAG T100DCE BRS TRAMONTANE 100 ELEKTRO-AKUSTIČNA KITARA,421.00,443.16
CORT EARTH200F AKUSTIČNA KITARA ATV SG,420.00,442.11
CRAFTER KOR GA 7/N AKUSTIČNA KITARA,420.00,442.11
FLIGHT AD-555CEQ NA ELEKTRO AKUSTIČNA KITARA,209.00,220.00
LAG TKT150E MINI ELEKTRO AKUSTIČNA KITARA,199.00,209.47
TAKAMINE GD20CE-NS TP4-TD ELEKTRO AKUSTIČNA KITARA,398.05,419.00
LAG T170DCE TRAMONTANE DREADNOUGHT ELEKTRO AKUSTIČNA KITARA,386.00,406.32
CORT LITTLE CJ OP,349.00,367.37
CORT AF515CE OP CUTAWAY ELEKTRO AKUSTIČNA KITARA,172.00,181.05
FENDER CD-140SCE SB ELEKTRO AKUSTIČNA KITARA S KOVČKOM,332.99,350.52
CORT MR600F AKUSTIČNA KITARA NAT,330.00,347.37
CORT MR710F NAT CUTAWAY ELEKTRO AKUSTIČNA KITARA,329.00,346.32
LAG TRAMONTANE WINGS HELL AKUSTIČNA KITARA,304.00,320.00
LAG T170A TRAMONTANE AUDITORIUM AKUSTIČNA KITARA,251.22,264.44
HOHNER HW-03 MINI AKUSTIČNA KITARA,98.68,131.58
CORT AD890CF LVBS CUTAWAY ELEKTRO AKUSTIČNA KITARA,242.00,254.74
CORT AD890CF NT CUTAWAY ELEKTRO AKUSTIČNA KITARA,242.00,254.74
JET JD-255 AKUSTIČNA KITARA SB,119.00,125.26
CORT CJ-MEDX NAT JUMBO ELEKTRO AKUSTIČNA KITARA,220.00,231.58
FLIGHT F-230 BLK AKUSTIČNI SET,99.47,110.52
LAG T70DC TRAMONTANE 70 DREADNOUGHT CUTAWAY AKUSTIČNA KITARA,209.00,220.00
CORT EARTH MINI AKUSTIČNA KITARA OP,199.00,209.47
CORT EARTH70MH OP AKUSTIČNA KITARA,199.00,209.47
CORT GA-MEDX OP ELEKTRO AKUSTIČNA KITARA,184.00,193.68
"FLIGHT G-575C TBK AKUSTIČNA KITARA, SOLID",167.00,175.79
IBANEZ PF15-BK AKUSTIČNA KITARA,164.35,173.00
IBANEZ PF15-NT AKUSTIČNA KITARA,160.56,169.01
FLIGHT D-200CEQ SB ELEKTRO AKUSTIČNA KITARA SUNBURST,150.99,158.94
FLIGHT AD-455C NA AKUSTIČNA KITARA,143.00,150.53
FLIGHT D-435 BK AKUSTIČNA KITARA,130.00,136.84
FLIGHT D-435 NA AKUSTIČNA KITARA,125.00,131.58
FLIGHT F-230C BLK AKUSTIČNA KITARA,94.00,98.95
FLIGHT F-230C NAT AKUSTIČNA KITARA,94.00,98.95
CORT LUXE NAT W/CASE,985.00,"1,036.84"
CORT MR710F-12NS 12 STRUNSKA ELEKTRO AKUSTIČNA KITARA,395.52,416.34
CRAFTER D 6/N SOLID TOP AKUSTIČNA KITARA S TORBO,323.75,340.79
